Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
86,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,59,1640,10.3,.582,.572,.200,1.6,8.7,5.2,8.4,1.6,1.1,10.6,14.3,,1.2,2.2,3.4,.100,,-1.7,0.3,-1.4,0.3
87,Facundo Campazzo\campafa01,PG,29,DEN,58,1204,11.1,.572,.698,.283,1.7,7.9,4.8,19.4,2.5,1.0,17.6,12.8,,1.4,1.2,2.6,.102,,-1.9,0.7,-1.3,0.2
88,Vlatko Čančar\cancavl01,PF,23,DEN,35,187,8.7,.537,.523,.182,3.7,18.1,10.9,6.7,2.4,1.0,20.2,13.9,,-0.1,0.2,0.1,.036,,-3.4,0.6,-2.8,0.0
89,Devin Cannady\cannade01,PG,24,ORL,8,74,11.3,.547,.571,.250,0.0,7.3,3.5,2.1,3.3,1.2,6.0,19.4,,0.0,0.1,0.1,.061,,-4.4,1.3,-3.1,0.0
90,Clint Capela\capelca01,C,26,ATL,57,1720,24.7,.598,.000,.324,17.8,34.7,26.4,4.4,1.1,6.1,8.2,20.2,,4.5,3.0,7.4,.208,,2.9,-0.1,2.8,2.1
91,Vernon Carey Jr.\careyve01,C,19,CHO,16,100,11.8,.586,.226,.290,4.3,20.9,12.5,3.0,0.5,4.0,12.5,17.3,,0.0,0.1,0.1,.068,,-4.3,-1.6,-5.9,-0.1
92,Jevon Carter\carteje01,PG,25,PHO,52,598,11.9,.541,.707,.033,2.5,11.9,7.3,13.2,2.1,1.4,6.5,14.8,,0.6,0.8,1.3,.108,,-0.7,1.6,0.9,0.4
93,Wendell Carter Jr.\cartewe01,C,21,TOT,50,1276,17.1,.577,.106,.404,10.1,24.5,17.3,11.3,1.3,2.7,13.1,19.5,,1.7,1.6,3.3,.124,,-0.8,-0.4,-1.2,0.2
93,Wendell Carter Jr.\cartewe01,C,21,CHI,32,792,16.3,.578,.087,.440,10.0,25.1,17.6,12.2,1.1,2.6,14.0,19.1,,1.1,1.0,2.1,.126,,-1.3,-0.1,-1.4,0.1
93,Wendell Carter Jr.\cartewe01,C,21,ORL,18,484,18.5,.575,.135,.351,10.4,23.5,16.7,9.8,1.6,2.9,11.6,20.0,,0.6,0.6,1.2,.122,,-0.1,-0.9,-0.9,0.1
94,Michael Carter-Williams\cartemi01,SG,29,ORL,31,800,9.5,.449,.226,.296,4.9,13.5,9.1,24.2,1.5,2.0,18.4,20.2,,-1.1,0.7,-0.4,-0.024,,-4.5,-0.1,-4.6,-0.5
95,Alex Caruso\carusal01,PG,26,LAL,52,1067,10.8,.547,.476,.258,2.9,12.8,7.9,16.8,2.6,1.1,18.3,14.0,,0.3,1.9,2.2,.097,,-2.6,2.3,-0.3,0.5
96,Willie Cauley-Stein\caulewi01,C,27,DAL,45,776,14.5,.643,.063,.456,8.2,19.7,14.0,5.2,1.1,4.3,10.8,12.1,,1.4,1.0,2.4,.149,,-2.0,0.5,-1.5,0.1
